"Make","Model","Variant","Color","Year","Status","Base","Additional","Total","Notes","URL"
"Subaru","Impreza Meaneye","WRX STi","Yellow","2009","parked","6","3","9","TE37","https://www.google.dk/maps/@35.5207566,139.5863336,3a,33.2y,52.96h,79.63t/data=!3m8!1e1!3m6!1s8TdwKRfnokPWoAJPLTlUyg!2e0!5s20090701T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D10.366591670075849%26panoid%3D8TdwKRfnokPWoAJPLTlUyg%26yaw%3D52.96134967466106!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
"Toyota","Supra A80","Series I","Orange","2014","parked","7","5","12","","https://www.google.dk/maps/@35.5298135,139.594924,3a,46.3y,57.51h,76.88t/data=!3m8!1e1!3m6!1sx53Ulm8XCTgtQnsfdtHFYA!2e0!5s20140201T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D13.124002623560088%26panoid%3Dx53Ulm8XCTgtQnsfdtHFYA%26yaw%3D57.51065987086375!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
"Subaru","Impreza Hawkeye","WRX STi","White","2009","driving","6","4","10","","https://www.google.dk/maps/@35.5343065,139.5833582,3a,40.5y,62.56h,72.31t/data=!3m8!1e1!3m6!1s5H27uCq_MO0DrpQAFtJfDg!2e0!5s20090901T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D17.69114558308955%26panoid%3D5H27uCq_MO0DrpQAFtJfDg%26yaw%3D62.556710490789655!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
"Toyota","Corolla AE86","Trueno","White","2016","parked","6","3","9","TE37","https://www.google.dk/maps/@35.5481017,139.5901758,3a,18.9y,255.16h,81.14t/data=!3m8!1e1!3m6!1s8D86ax-Zp66h9bVUiriKVg!2e0!5s20160401T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D8.859565022512825%26panoid%3D8D86ax-Zp66h9bVUiriKVg%26yaw%3D255.1624759460409!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
"Nissan","GT-R","R35","White","2016","parked","7","0","7","","https://www.google.dk/maps/@35.6006696,139.5999995,3a,25.2y,152.11h,85.06t/data=!3m8!1e1!3m6!1shljwaXUIkNCgTABCXW_szA!2e0!5s20161101T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D4.935883392059381%26panoid%3DhljwaXUIkNCgTABCXW_szA%26yaw%3D152.11385832455576!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
"Toyota","Corolla AE86","Trueno","White","2009","parked","6","1","7","","https://www.google.dk/maps/place/Minamiota+Police+Box/@35.4126665,139.5852525,3a,34.9y,37.02h,79.03t/data=!3m8!1e1!3m6!1sa4i00TqgIegIktzGjW0pMA!2e0!5s20090901T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D10.968339688528715%26panoid%3Da4i00TqgIegIktzGjW0pMA%26yaw%3D37.01738712232218!7i13312!8i6656!4m6!3m5!1s0x60185c817f7ac77b:0xbabf45e02d8369a8!8m2!3d35.4359635!4d139.6121168!16s%2Fg%2F12xqpwc95?hl=da&entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
"Honda","Civic EP","EP3 Type R","White","2020","parked","7","0","7","","https://www.google.dk/maps/place/Minamiota+Police+Box/@35.4130075,139.5855871,3a,28.6y,43.55h,80.04t/data=!3m8!1e1!3m6!1s-x8qLGfPrIhPtacFTv1S4w!2e0!5s20201101T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D9.958049898051456%26panoid%3D-x8qLGfPrIhPtacFTv1S4w%26yaw%3D43.54660133718204!7i16384!8i8192!4m6!3m5!1s0x60185c817f7ac77b:0xbabf45e02d8369a8!8m2!3d35.4359635!4d139.6121168!16s%2Fg%2F12xqpwc95?hl=da&entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
"Toyota","Altezza","Base","Green","2024","parked","3","6","9","Car has stickers from all over the world.","https://www.google.dk/maps/place/Minamiota+Police+Box/@35.4207225,139.585755,3a,30.7y,210.2h,75.54t/data=!3m8!1e1!3m6!1sQeWG3DqnoM87GOxxdFRkVw!2e0!5s20240801T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D14.463292505701205%26panoid%3DQeWG3DqnoM87GOxxdFRkVw%26yaw%3D210.20186313697437!7i16384!8i8192!4m6!3m5!1s0x60185c817f7ac77b:0xbabf45e02d8369a8!8m2!3d35.4359635!4d139.6121168!16s%2Fg%2F12xqpwc95?hl=da&entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
"Honda","Civic EF","EF8 CR-X","Black","2009","parked","5","0","5","","https://www.google.dk/maps/place/Minamiota+Police+Box/@35.4247865,139.5993675,3a,37.9y,62.09h,80.3t/data=!3m8!1e1!3m6!1soTAumVAcDm7OPgqcX_IUOQ!2e0!5s20090901T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D9.703368445898533%26panoid%3DoTAumVAcDm7OPgqcX_IUOQ%26yaw%3D62.090997695084575!7i13312!8i6656!4m6!3m5!1s0x60185c817f7ac77b:0xbabf45e02d8369a8!8m2!3d35.4359635!4d139.6121168!16s%2Fg%2F12xqpwc95?hl=da&entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
"Mazda","RX-7 FD3S","Base","White","2014","parked","6","2","8","","https://www.google.dk/maps/@35.5232229,139.6347525,3a,39.4y,302.7h,72.85t/data=!3m8!1e1!3m6!1s7ki1HLZSluspGF7F8HtuWw!2e0!5s20140401T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D17.15397644601498%26panoid%3D7ki1HLZSluspGF7F8HtuWw%26yaw%3D302.70300570377754!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI2MDMyMy4xIKXMDSoASAFQAw%3D%3D"
"Mazda","RX-7 FC3S","Base","White","2019","parked","4","2","6","","https://www.google.dk/maps/place/Okudo+Central+Pharmacy/@35.7283061,139.8388899,3a,60.4y,339.21h,74.29t/data=!3m8!1e1!3m6!1sLQwLmoxLqe8TCsr5t0Gv6Q!2e0!5s20190201T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D15.705885705893095%26panoid%3DLQwLmoxLqe8TCsr5t0Gv6Q%26yaw%3D339.20705414508996!7i16384!8i8192!4m6!3m5!1s0x601885f676de179d:0xfaefc7c251c04518!8m2!3d35.7357574!4d139.8564417!16s%2Fg%2F1q64jk081?hl=da&entry=ttu&g_ep=EgoyMDI2MDMyMy4xIKXMDSoASAFQAw%3D%3D"
"Nissan","Skyline R33","Autech 4-door GT-R","Purple","2016","parked","9","8","17","","https://www.google.dk/maps/@35.6520781,139.6679839,3a,34.3y,238.9h,73.9t/data=!3m8!1e1!3m6!1swnelPRxkqO6tfzJGQ0Eh9g!2e0!5s20160301T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D16.09610534153218%26panoid%3DwnelPRxkqO6tfzJGQ0Eh9g%26yaw%3D238.89817214896595!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI2MDMyMy4xIKXMDSoASAFQAw%3D%3D"
"Honda","Civic FD","FD2 Type R","White","2010","driving","5","1","6","","https://www.google.dk/maps/@35.4149802,139.498836,3a,41.2y,342.64h,73.43t/data=!3m8!1e1!3m6!1sbziNjp9XUGpaCgYHdgTgmQ!2e0!5s20100901T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D16.56871543968795%26panoid%3DbziNjp9XUGpaCgYHdgTgmQ%26yaw%3D342.642542854537!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D"
"Nissan","350Z","Base","Black","2017","driving","3","2","5","","https://www.google.dk/maps/@35.4445251,139.6318062,3a,28.4y,282.85h,81.33t/data=!3m8!1e1!3m6!1sQzT4XTcG-VvcstfejDDitg!2e0!5s20170801T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D8.670057574841294%26panoid%3DQzT4XTcG-VvcstfejDDitg%26yaw%3D282.85491135310195!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
"Nissan","Silvia S13","K's","Gold","2009","parked","6","1","7","","https://www.google.dk/maps/@35.5956823,139.5865443,3a,34.3y,231.14h,81.93t/data=!3m8!1e1!3m6!1s5b575doN6oqVVJQdeScO-Q!2e0!5s20090801T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D8.066931328935937%26panoid%3D5b575doN6oqVVJQdeScO-Q%26yaw%3D231.1404563475751!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
